draft_id,arena_run_id,expansion,event_type,format,pack_number,pick_number,picked_card,picked_card_norm,picked_card_gihwr,ts
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,106,Island,ISLAND,,2025-08-23T16:26:04.707999+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,107,Robot,ROBOT,,2025-08-23T16:26:04.921339+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,108,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:26:05.743832+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,109,Forest,FOREST,,2025-08-23T16:26:05.772014+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,110,Codecracker Hound,CODECRACKER HOUND,0.598,2025-08-23T16:26:05.829995+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,111,Forest,FOREST,,2025-08-23T16:26:06.174774+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,112,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,2025-08-23T16:26:06.461850+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,113,Lander,LANDER,,2025-08-23T16:26:06.497874+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,114,Island,ISLAND,,2025-08-23T16:26:06.525945+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,115,Lost in Space,LOST IN SPACE,0.562,2025-08-23T16:26:06.647396+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,116,Lost in Space,LOST IN SPACE,0.562,2025-08-23T16:26:06.759082+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,117,Lost in Space,LOST IN SPACE,0.562,2025-08-23T16:26:06.917770+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,118,Lost in Space,LOST IN SPACE,0.562,2025-08-23T16:26:07.033700+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,119,Plains,PLAINS,,2025-08-23T16:26:07.202226+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,120,Plains,PLAINS,,2025-08-23T16:26:07.235236+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,121,Squire's Lightblade,SQUIRE'S LIGHTBLADE,0.535,2025-08-23T16:26:07.358288+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,122,Squire's Lightblade,SQUIRE'S LIGHTBLADE,0.535,2025-08-23T16:26:07.442114+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,123,Plains,PLAINS,,2025-08-23T16:26:07.673411+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,124,Plains,PLAINS,,2025-08-23T16:26:07.699097+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,125,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:26:07.806587+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,126,Thrumming Hivepool,THRUMMING HIVEPOOL,0.5770000000000001,2025-08-23T16:26:07.925706+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,127,Plains,PLAINS,,2025-08-23T16:26:07.984824+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,128,Forest,FOREST,,2025-08-23T16:26:08.119709+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,129,Illvoi Infiltrator,ILLVOI INFILTRATOR,0.545,2025-08-23T16:26:08.297806+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,130,Forest,FOREST,,2025-08-23T16:26:08.590207+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,131,Forest,FOREST,,2025-08-23T16:26:08.823967+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,132,Forest,FOREST,,2025-08-23T16:26:08.878750+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,133,Gene Pollinator,GENE POLLINATOR,0.5720000000000001,2025-08-23T16:26:09.032001+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,134,Breeding Pool,BREEDING POOL,0.563,2025-08-23T16:26:09.086506+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,135,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:26:09.741971+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,136,Weftblade Enhancer,WEFTBLADE ENHANCER,0.534,2025-08-23T16:26:09.869629+00:00
0433c745-bba7-4005-b265-62a9e8317662,,,,,3,137,Plains,PLAINS,,2025-08-23T16:26:09.953377+00:00
