id,text
305,Craft with
306,"If this permanent would be put into a graveyard from the battlefield, exile it instead."
307,Disguise
316,"When the last time counter is removed from this card, if it's exiled, you may play it without paying its mana cost. If you don't, it remains exiled. If you cast a creature spell this way, it gains haste until you lose control of the spell or the permanent it becomes."
328,Plot
329,Saddle
330,Spree
333,Affinity for outlaws
335,Bestow
337,Affinity for Auras
339,Protection from instants
340,Protection from sorceries
341,Offspring
342,Gift
343,Hexproof from activated and triggered abilities
346,Partner
352,Impending
353,Exhaust
354,Start your engines!
355,"Whenever one or more opponents lose life during your turn, if your speed is less than 4, increase your speed by 1. This ability triggers only once each turn."
356,Surge
358,Renown
359,Awaken
362,Harmonize
363,Mobilize
364,Job select
365,Tiered
368,Protection from each of your opponents
369,"{o2}, {oT}, Sacrifice CARDNAME: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
370,Commander ninjutsu
371,Warp
372,Exile this at the beginning of the next end step. You may cast it from exile on a later turn.
373,Station
375,Melee
376,Max speed
986,Add Die Roll
987,Adorn Cards
989,Tap or Untap
990,Donate Objects
991,Bounce to Hand
992,Draw a Card
993,Waive Mana Cost
995,End The Turn
996,Wish
997,Put Library
998,Gain Haste
999,Add Colors
1001,{oT}: Add {oW}.
1002,{oT}: Add {oU}.
1003,{oT}: Add {oB}.
1004,{oT}: Add {oR}.
1005,{oT}: Add {oG}.
1006,"As long as CARDNAME is attacking, it gets +2/+0."
1008,"{oT}: Add {oC}. If you control an Urza's Mine and an Urza's Power-Plant, add {oCoCoC} instead."
1009,"Whenever CARDNAME attacks, target Vampire gets +X/+X until end of turn, where X is the power of the exiled card."
1010,"At the beginning of your upkeep, you may have two target players exchange life totals."
1011,"Enrage — Whenever CARDNAME is dealt damage, put a +1/+1 counter on each other creature you control."
1012,Enchant player
1013,"Choose one — 
• Destroy target Vampire. 
• Destroy target enchantment."
1014,"Whenever CARDNAME attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking."
1019,Target creature gets +3/+0 and gains first strike until end of turn.
1020,Pay 2 life: CARDNAME gains vigilance until end of turn.
1021,"Whenever CARDNAME attacks, other creatures you control gain double strike until end of turn."
1026,CARDNAME can't be blocked by more than one creature.
1027,Enchant creature
1029,Bushido 1
1031,Target creature gets +4/+4 until end of turn.
1033,Creatures you control get +3/+3 and gain trample until end of turn.
1034,CARDNAME deals 2 damage to each creature.
1036,CARDNAME gets +3/+0 as long as you have the city's blessing.
1037,"At the beginning of your end step, draw a card if you've gained 3 or more life this turn."
1038,Creatures you control with first strike have double strike.
1039,{oT}: Add {oU} or {oR}.
1040,"{o3oWoW}, Sacrifice CARDNAME: Search your library for a Dinosaur card, reveal it, put it into your hand, then shuffle."
1041,CARDNAME has flying as long as you control a Dinosaur.
1044,Vanishing 2
1046,"Exile all attacking creatures target player controls. That player may search their library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle."
1047,"If you have less life than an opponent, you gain 6 life. If you control fewer creatures than an opponent, create three 1/1 white Soldier creature tokens."
1048,This spell has flash as long as you control a Merfolk.
1051,"When CARDNAME enters, look at the top five cards of your library. You may reveal a Spacecraft card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, put a +1/+1 counter on CARDNAME."
1053,"At the beginning of your upkeep, mill two cards."
1054,You control enchanted creature.
1055,{oT}: Add one mana of any color.
1056,Return target instant or sorcery card from your graveyard to your hand. Exile CARDNAME.
1057,Draw two cards. Then discard a card unless you attacked this turn.
1059,Counter target red or green spell.
1060,Destroy target nonblack creature.
1061,{oT}: CARDNAME deals 1 damage to target player or planeswalker.
1062,"At the beginning of your upkeep, each player draws a card. If you have the city's blessing, instead only you draw a card."
1063,Return target creature to its owner's hand. Create a Treasure token.
1064,"Once each turn, you may pay {o0} rather than pay the mana cost for a spell you cast with mana value X or less, where X is the number of time counters on CARDNAME."
1068,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle."
1070,Creatures you control with +1/+1 counters on them can't be blocked.
1071,"Whenever one or more creatures you control deal combat damage to a player this turn, draw a card, then discard a card."
1073,"Create a 2/2 blue Illusion creature token with ""When this token becomes the target of a spell, sacrifice it."""
1074,Target player reveals their hand. You choose a nonland card from it. That player discards that card.
1076,Abilities your opponents activate that target a Merfolk you control cost {o2} more to activate.
1077,Equip {o5}
1078,Enchanted creature is a copy of the chosen creature.
1080,CARDNAME gets +1/+1 as long as you have the city's blessing.
1083,Enchanted creature can't attack or block.
1084,"Search your library for a card, put that card into your hand, then shuffle."
1088,"When CARDNAME dies, you may have it deal 1 damage to any target."
1093,CARDNAME deals 2 damage to any target and you gain 2 life.
1094,Target opponent's life total becomes 10.
1095,You control target player during that player's next turn.
1097,{oR}: CARDNAME gets +1/+0 until end of turn.
1098,Destroy target land. Creatures without flying can't block this turn.
1099,Each opponent loses 1 life for each creature you control.
1100,"{oT}: Draw a card, then discard a card. Activate only if you've cast a noncreature spell this turn."
1102,"When CARDNAME enters, you gain 3 life."
1103,Enchanted creature gets +1/+3.
1104,{o3oU}: Draw a card.
1105,"Look at the top three cards of your library, then put them back in any order. You may shuffle."
1106,"At the beginning of combat on your turn, you may have target Vampire get +2/+0 until end of turn."
1107,You can't play lands or cast spells from your hand.
1111,CARDNAME enters with three wish counters on it.
1112,"{o2oUoU}, Remove a wish counter from CARDNAME: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it."
1113,This spell costs {o3} less to cast if a creature died this turn.
1116,"{oW}, {oT}: Tap target creature."
1117,"Each opponent sacrifices a creature of their choice. If you have the city's blessing, instead each opponent sacrifices half the creatures they control of their choice, rounded up."
1118,CARDNAME deals 5 damage to target player or planeswalker.
1120,"Choose an artifact card name. Search target opponent's graveyard, hand, and library for any number of cards with the chosen name and exile them. Then that player shuffles."
1123,Other Goblin creatures you control get +1/+1 and have haste.
1125,"If CARDNAME would deal combat damage to a player, it deals double that damage to that player instead."
1126,"Whenever CARDNAME attacks, if you control another nontoken Pirate, you may pay {o2}. If you do, create a 2/2 black Pirate creature token with menace."
1127,"When CARDNAME enters, destroy target creature an opponent controls that was dealt damage this turn."
1129,"When CARDNAME enters, return up to two target non-Spacecraft creatures to their owners' hands."
1130,"When CARDNAME enters, target opponent reveals their hand. You choose a noncreature, nonland card from it. Exile that card until CARDNAME leaves the battlefield."
1131,{oT}: Add {oR} or {oG}.
1133,Return two target Pirate cards from your graveyard to your hand.
1140,"Whenever CARDNAME deals combat damage to a player, draw a card, then discard a card."
1141,Target creature gets -3/-1 until end of turn.
1142,Counter target noncreature spell.
1146,"When CARDNAME enters, if you control a Desert or there is a Desert card in your graveyard, you may have CARDNAME deal 3 damage to target creature."
1147,Return to your hand all cards in your graveyard that you cycled or discarded this turn.
1148,Discard two cards: Create a 2/2 black Zombie creature token.
1150,"When CARDNAME enters, it deals 1 damage to enchanted creature."
1152,{oT}: Add {oC}.
1153,"{o2}, {oT}, Sacrifice CARDNAME: Return target artifact card from your graveyard to your hand."
1154,CARDNAME can't block and can't be blocked.
1155,Equipped creature gets +3/+0.
1156,Equip {o3}
1157,"When CARDNAME enters, you may return target creature card from your graveyard to your hand."
1158,Sacrifice a creature: CARDNAME gets +1/+1 until end of turn.
1159,Destroy target green or white creature.
1161,Enchanted creature has lifelink.
1162,{oB}: CARDNAME gets +1/+1 until end of turn.
1163,Draw a card. Target player mills a card.
1164,Target player mills ten cards.
1165,Any number of target players each draw twenty cards.
1166,"When CARDNAME enters, up to one target creature gets -3/-3 until end of turn."
1167,{oT}: Add {oU} or {oB}.
1168,"At the beginning of each player's draw step, that player draws an additional card."
1170,"Whenever a creature dealt damage by CARDNAME this turn dies, put a +1/+1 counter on CARDNAME."
1171,"Enchanted creature gets +4/+4, has flying and first strike, and is an Angel in addition to its other types."
1172,"Whenever you cast a Pirate spell, untap CARDNAME."
1173,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.
1176,"Whenever another creature enters, CARDNAME deals 1 damage to that creature's controller."
1177,"Enrage — Whenever CARDNAME is dealt damage, create a 3/3 green Dinosaur creature token with trample."
1178,"When CARDNAME enters, destroy target artifact."
1179,"Whenever CARDNAME enters or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield."
1181,"When CARDNAME enters, return target creature to its owner's hand."
1182,Illusion creatures you control get +1/+1 and have hexproof.
1183,"Enchanted creature can't attack or block, and its activated abilities can't be activated."
1186,"{oT}: Draw a card, then discard a card."
1187,Enchanted creature has flying.
1188,{o1oB}: Return this card from your graveyard to the battlefield tapped.
1189,Destroy all creatures.
1191,Gain control of target creature or Vehicle until end of turn. Untap it. It gains haste until end of turn.
1193,Enchanted creature gets +2/+2 and has haste.
1195,"At the beginning of your upkeep, exile the top card of your library. If it's a nonland card, you may cast that card this turn."
1196,"Whenever you cast your third spell in a turn, you may transform CARDNAME."
1197,{o1oW}: Target creature you control gains lifelink until end of turn.
1198,"{o2oR}, {oT}: CARDNAME deals 3 damage to any target."
1202,"Target creature gets +X/+X until end of turn, where X is the number of creatures you control."
1203,{oT}: Add {oG} or {oW}.
1204,CARDNAME deals 4 damage to target creature and 2 damage to that creature's controller.
1205,"When CARDNAME enters, if it was kicked, create Karox Bladewing, a legendary 4/4 red Dragon creature token with flying."
1206,"Choose one — 
• Destroy target creature with flying. 
• Destroy target enchantment."
1207,Other creatures you control of the chosen type get +1/+1.
1208,"Whenever you cast a noncreature spell, put a +1/+1 counter on CARDNAME."
1209,{oT}: Add {oW} or {oU}.
1210,CARDNAME enters tapped unless you control a Swamp or a Mountain.
1211,{oT}: Add {oB} or {oR}.
1213,"Whenever CARDNAME deals combat damage to a player, it explores."
1214,"When CARDNAME enters, destroy target artifact, enchantment, or land."
1221,{oR}: Enchanted creature gets +1/+0 until end of turn.
1222,Other Elf creatures you control get +1/+1.
1223,{oT}: Add {oG} for each Elf you control.
1224,Other Zombie creatures you control get +1/+1.
1226,"When CARDNAME enters, each opponent may search their library for a basic land card, put it onto the battlefield tapped, then shuffle."
1227,"Whenever CARDNAME attacks alone, double its power and toughness until end of turn."
1228,"Enrage — Whenever CARDNAME is dealt damage, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle."
1229,"Enrage — Whenever CARDNAME is dealt damage, you gain 2 life."
1230,"Enrage — Whenever CARDNAME is dealt damage, draw a card."
1233,"{o4}, {oT}: You may put a creature card from your hand onto the battlefield."
1235,Target creature gets +2/+2 and gains flying until end of turn.
1237,Play with the top card of your library revealed.
1238,You may cast creature spells from the top of your library.
1239,CARDNAME enters with five +1/+1 counters on it.
1244,Enchant creature or land
1246,Copy target instant or sorcery spell. You may choose new targets for the copy.
1247,"{oU}, {oT}: Target player mills two cards."
1248,"Until your next turn, all lands you control become 2/2 Elemental creatures with reach, indestructible, and haste. They're still lands."
1249,"When CARDNAME enters, another target permanent gains indestructible for as long as you control CARDNAME."
1250,CARDNAME gets +1/+1 for each artifact you control.
1251,"Whenever a creature you control enters, it deals damage equal to its power to any target."
1252,"Whenever CARDNAME enters or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle."
1255,"Whenever CARDNAME becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {o2}."
1256,"Whenever CARDNAME enters or attacks, tap target permanent. It doesn't untap during its controller's next untap step."
1257,"When CARDNAME enters, search your library for a card, put it into your hand, then shuffle."
1258,CARDNAME deals X damage divided as you choose among any number of target creatures. Creatures dealt damage this way can't block this turn.
1259,"{oR}, {oT}, Exile two cards from your graveyard: CARDNAME deals 2 damage to any target."
1261,Equipped creature gets +0/+3.
1265,"When CARDNAME dies, exile target permanent."
1266,Return target Pirate card from your graveyard to the battlefield.
1267,Equipped creature has hexproof and haste.
1268,Equip {o1}
1270,"Destroy target artifact, creature, or enchantment. Create a Treasure token."
1272,{oT}: Target creature with power 2 or less can't be blocked this turn.
1273,"When CARDNAME attacks, exile it at end of combat, then return it to the battlefield transformed under your control."
1275,"As an additional cost to cast this spell, sacrifice a creature."
1276,CARDNAME deals damage equal to the sacrificed creature's power to any target.
1278,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn.
1280,"When CARDNAME enters, target opponent creates two 0/2 green Plant creature tokens with defender."
1283,"Whenever a source deals damage to CARDNAME, that source's controller mills that many cards."
1285,"When CARDNAME dies, it deals 1 damage to any target."
1288,"When CARDNAME enters, scry 3."
1289,Pirates you control get +1/+0.
1290,"{o6}, {oT}, Sacrifice CARDNAME: Target creature gets -5/-5 until end of turn."
1292,{oT}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.
1293,Cycling {o3}
1297,"When CARDNAME enters, you may return another target historic permanent you control to its owner's hand."
1299,Annihilator 1
1300,"Equipped creature gets +0/+1 and has ""Sacrifice this creature: This creature deals 1 damage to any target."""
1304,"During your turn, equipped creature has first strike."
1306,"At the beginning of your end step, if you control seven or more lands, transform CARDNAME."
1308,"{o1}, {oT}: Scry 1. Put a landmark counter on CARDNAME. Then if there are three or more landmark counters on it, remove those counters, transform CARDNAME, and create three Treasure tokens."
1313,"Scry 2, then draw a card."
1314,Equipped creature gets +1/+1.
1316,CARDNAME's power is equal to the number of artifacts and/or enchantments you control.
1318,Enchanted creature gets +3/+3.
1319,Equip {o2}
1322,"{o3}, {oT}: Draw a card. Then discard a card unless you exile a historic card from your graveyard."
1323,Draw a card.
1325,"During your turn, CARDNAME has deathtouch."
1326,Exile target creature.
1327,"{o3}, {oT}: Add {oB} for each basic Swamp you control."
1328,Dredge 2
1331,"Whenever you cast a noncreature spell, create a 1/1 colorless Servo artifact creature token."
1333,Cycling {oB}
1335,"At the beginning of the end step, sacrifice CARDNAME."
1336,Unearth {o1oR}
1339,Tap up to four target creatures.
1340,Cycling {o1oU}
1341,"{o2oG}, {oT}, Sacrifice CARDNAME: Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Then put the rest on the bottom of your library in a random order."
1345,{o2oG}: Return this card from your graveyard to your hand. Activate only if you control a Vivien planeswalker.
1349,Untap up to one target artifact or creature.
1358,Modular 1
1359,{o1oB}: Regenerate CARDNAME.
1360,Create two 1/1 red Goblin creature tokens.
1361,"Whenever CARDNAME attacks, if you control a Chandra planeswalker, CARDNAME deals 2 damage to any target."
1363,Return that card to the battlefield under its owner's control at the beginning of the next end step.
1364,Exile those tokens at the beginning of the next end step.
1374,Exile the top ten cards of your library. Put all artifact cards from among them onto the battlefield.
1376,Attacking creatures you control get +1/+0.
1377,Affinity for Slivers
1378,"Whenever a creature dies this turn, each creature other than CARDNAME gets -1/-1 until end of turn."
1379,Return that creature to your hand at the beginning of the next end step.
1381,"{o1oB}, Sacrifice a creature: Target creature gets -2/-2 until end of turn."
1383,"Equipped creature gets +0/+2 and has hexproof and ""Whenever a creature with deathtouch blocks or becomes blocked by this creature, destroy that creature."""
1385,Destroy target tapped creature.
1387,{o1}: Permanents your opponents control lose hexproof and indestructible until end of turn.
1389,"When you cast this spell from your hand, copy it if you control an artifact, then copy it if you control an enchantment. You may choose new targets for the copies."
1390,{o2oU}: Untap CARDNAME.
1392,"{o3}, {oT}: Return target creature you control to its owner's hand."
1393,"If you control a creature, damage that would reduce your life total to less than 1 reduces it to 1 instead."
1394,"{o1oG}, Sacrifice another nonland permanent: CARDNAME gets +2/+2 until end of turn."
1395,"Whenever a Knight you control attacks, each opponent loses 1 life and you gain 1 life."
1397,Enchanted creature gets +2/+2 and has flying and vigilance.
1398,"Whenever you sacrifice a permanent, put a +1/+1 counter on CARDNAME and draw a card."
1399,"Whenever an equipped creature you control attacks, you draw a card and you lose 1 life."
1400,Equipment you control have equip Knight {o0}.
1402,Other multicolored creatures you control get +1/+0.
1403,"Whenever another multicolored creature you control dies, return it to its owner's hand at the beginning of the next end step."
1406,CARDNAME deals 3 damage to any target and you gain 3 life.
1407,Sacrifice them at the beginning of the next end step.
1408,"{o3}, {oT}: Untap target creature."
1410,Return it to its owner's hand at the beginning of the next end step.
1411,Return target nonland permanent an opponent controls to its owner's hand.
1413,Counter target spell with mana value 3 or less.
1414,Gain control of all creatures target opponent controls.
1416,You draw a card and you lose 1 life.
1417,Destroy target creature or planeswalker. You lose 2 life.
1419,CARDNAME deals 2 damage to each opponent.
1420,Enchant permanent
1421,You control enchanted permanent.
1422,"You may discard a card. If you do, draw a card."
1424,"When CARDNAME enters, each opponent mills ten cards."
1425,Create a Food token.
1426,Create three 2/2 green Bear creature tokens.
1428,Create a 1/1 white Human creature token.
1429,Add one mana of any color.
1432,"When CARDNAME dies, draw three cards."
1433,{oT}: Add {oGoG}.
1435,Exile those Auras at the beginning of your next end step.
1437,"{o2}, {oT}, Sacrifice a creature: Search your library for a creature card that shares a creature type with the sacrificed creature and has mana value equal to 1 plus that creature's mana value. Put that card onto the battlefield, then shuffle. Activate only as a sorcery."
1438,Enchanted creature gets +1/+1 for each Forest you control.
1439,CARDNAME deals damage to target creature equal to the number of Mountains you control.
1440,"Equipped creature gets +1/+0, has flying, and is a Bird in addition to its other types."
1441,"At the beginning of your upkeep, put a night counter on CARDNAME. Then if it has eight or more night counters on it, remove all of them and create eight colorless snow artifact tokens named Replicated Ring with ""{oT}: Add one mana of any color."""
1442,"When CARDNAME enters, you may search your library, hand, and/or graveyard for a Rune card and put it onto the battlefield attached to CARDNAME. If you search your library this way, shuffle."
1443,Enchanted creature gets +2/+1.
1447,"{oGoWoW}, {oT}, Sacrifice CARDNAME: Put a +1/+1 counter on each of up to two target creatures you control. They gain vigilance and lifelink until end of turn. Activate only as a sorcery."
1449,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.
1450,"{o2oWoUoU}, {oT}, Sacrifice CARDNAME: You gain 2 life and draw two cards."
1451,"{o3oRoGoG}, {oT}, Sacrifice CARDNAME: Destroy target land. Create a 4/4 green Troll Warrior creature token with trample."
1454,"{o2oGoGoU}, {oT}, Sacrifice CARDNAME: Create a token that's a copy of target creature you control, except it enters with an additional +1/+1 counter on it. Activate only as a sorcery."
1455,"{o3oUoBoB}, {oT}, Sacrifice CARDNAME: Mill four cards, then return a creature card from your graveyard to the battlefield tapped."
1456,Creatures you control get +1/+1.
1459,"{o2oUoUoR}, {oT}, Sacrifice CARDNAME: Scry 2. CARDNAME deals 2 damage to each creature. Activate only as a sorcery."
1460,"Whenever another creature enters, its controller may draw a card if its power is greater than each other creature's power."
1461,Enchanted creature gets +1/+2.
1463,Target player draws four cards.
1464,"At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying and vigilance."
1468,"Whenever CARDNAME attacks, you may sacrifice another creature. When you do, CARDNAME deals damage equal to the sacrificed creature's power to any target. If the sacrificed creature was a Giant, CARDNAME deals twice that much damage instead."
1471,{oT}: Add {oCoC}.
1473,"Whenever CARDNAME becomes tapped, if it's enchanted or equipped, create a 2/1 red Dwarf Berserker creature token."
1475,Return target creature to its owner's hand. You may have Shapeshifters you control become copies of that creature until end of turn.
1476,Enchant Giant you control
1484,"Target Giant you control gets +2/+2 and gains trample until end of turn. Whenever it deals combat damage to a player this turn, exile that many cards from the top of your library. Until the end of your next turn, you may play those cards."
1486,Sacrifice two Treasures: Return this card from your graveyard to your hand.
1487,Equip {o0}. Activate only once each turn.
1490,"Whenever an Angel you control dies, each other player sacrifices a creature of their choice."
1491,"Equipped creature gets +1/+0 and has ""Whenever this creature attacks, you may sacrifice Spare Dagger. When you do, this creature deals 1 damage to any target."""
1494,"When CARDNAME specializes, conjure a duplicate of target creature card exiled with CARDNAME into your hand. The duplicate perpetually gets +2/+2 and gains ""Mana of any type can be spent to cast this spell."""
1495,{oT}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.
1497,Destroy all artifacts and enchantments.
1500,"At the beginning of your draw step, draw an additional card."
1501,"At the beginning of your end step, discard your hand."
1505,"Whenever it deals combat damage to a player this turn, exile that many cards from the top of your library. Until the end of your next turn, you may play those cards."
1506,"Destroy target artifact, enchantment, or land."
1508,Exile it at the beginning of your next upkeep.
1509,"When that creature dies this turn, create a 3/2 red and white Spirit creature token."
1510,Creature spells you cast of the chosen type cost {o1} less to cast.
1511,"At the beginning of your upkeep, look at the top card of your library. If it's a creature card of the chosen type, you may reveal it and put it into your hand."
1515,Ward {o4}
1517,"Until end of turn, whenever a creature an opponent controls is dealt damage, destroy it."
1520,This creature deals 1 damage to any target.
1521,Destroy all creatures. They can't be regenerated.
1524,"When CARDNAME specializes, destroy up to one target artifact or enchantment. Scry 2."
1525,"When CARDNAME specializes, destroy up to one target artifact or enchantment. Each opponent loses 3 life."
1526,"When you cast a creature spell, it perpetually gets +1/+0 and gains haste."
1527,"When CARDNAME specializes, destroy up to one target artifact or enchantment. You get a one-time boon with ""When you cast a creature spell, it perpetually gets +1/+0 and gains haste."""
1528,"When CARDNAME specializes, destroy up to one target artifact or enchantment. You gain 4 life."
1529,"Time Compression — When CARDNAME transforms into CARDNAME, take an extra turn after this one."
1531,"When CARDNAME dies, it unspecializes. If it unspecializes this way, return it to the battlefield tapped."
1535,"During your turn, CARDNAME and enchantment creatures you control have trample, lifelink, and ward {o2}."
1538,"Whenever an opponent gains control of a permanent from you, you create a Treasure token."
1539,"Whenever CARDNAME attacks, another target attacking creature gets +X/+0 until end of turn, where X is CARDNAME's power."
1540,"Whenever CARDNAME attacks, another target attacking creature gains lifelink and gets +X/+0 until end of turn, where X is CARDNAME's power."
1541,"Whenever CARDNAME attacks, another target attacking creature gains flying and gets +X/+0 until end of turn, where X is CARDNAME's power."
1542,"Whenever CARDNAME attacks, another target attacking creature gains menace and gets +X/+0 until end of turn, where X is CARDNAME's power."
1544,"Whenever CARDNAME attacks, untap another target attacking creature. It gets +X/+0 until end of turn, where X is CARDNAME's power."
1545,"{o4}, {oT}: Draw a card."
1547,Counter target spell unless its controller pays {o1}.
1548,"{o1oBoG}, Exile this card from your graveyard: Target creature you control perpetually gains menace. Activate only as a sorcery."
1549,"{o1oRoG}, Exile this card from your graveyard: Target creature you control perpetually gains double strike. Activate only as a sorcery."
1550,"Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase."
1553,"When CARDNAME enters, it deals 2 damage to any target."
1556,"{o6}, {oT}, Sacrifice CARDNAME: Destroy target nonland permanent."
1559,{o1oR}: Creatures you control named Genasi Rabble-Rouser get +1/+0 until end of turn.
1560,"If a creature dying causes a triggered ability of this creature or an emblem you own to trigger, that ability triggers an additional time."
1561,"Equipped creature has ""If a creature dying causes a triggered ability of this creature or an emblem you own to trigger, that ability triggers an additional time."""
1562,Equipped creature gets +1/+0 and is a Monk in addition to its other types.
1567,Creatures you control have haste.
1570,Enchant land
1571,"Whenever enchanted land is tapped for mana, its controller adds an additional {oG}."
1573,{oT}: Target attacking or blocking creature gets +1/+1 until end of turn.
1575,"At the beginning of your upkeep, create a 1/1 black Skeleton creature token."
1577,Ward—Pay 2 life.
1578,"Warlocks you control have ""Ward—Pay 2 life."""
1580,"At the beginning of your upkeep, each opponent mills five cards. Then exile each opponent's graveyard."
1581,"Whenever a player casts a spell, that player discards a card."
1583,Choose one.
1586,You gain 4 life.
1588,"{o2}, {oT}: Target player mills two cards."
1593,"When you spend this mana to cast a Dragon creature spell, scry 2."
1594,"When you spend this mana to cast a Dragon creature spell, you gain 2 life."
1596,Up to that many target creatures gain double strike until end of turn.
1600,"When you next cast an instant or sorcery spell this turn, copy that spell X times. You may choose new targets for the copies."
1612,"Put X +1/+1 counters on another target creature you control, where X is the number of cards you have discarded this turn."
1614,"A Test of Your Reflexes! — When CARDNAME enters, you may attach it to target creature you control. If you do, that creature gains first strike until end of turn and must be blocked this turn if able."
1624,"When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
1625,"Until end of turn, whenever a Kraken, Leviathan, Merfolk, Octopus, or Serpent attacks, draw a card."
1628,Sacrifice that token at the beginning of the next upkeep.
1629,All damage that would be dealt to you is dealt to enchanted creature instead.
1630,"At the beginning of the next end step, return those creatures to their owner's hand."
1633,"{o2}, {oT}: Draw a card, then discard a card."
1635,Unattach it at the beginning of the next end step.
1640,You have no maximum hand size.
1642,{oT}: Draw a card.
1643,Enchant artifact
1652,Creatures you control get +2/+2.
1663,CARDNAME can't block.
1664,Other Zombie creatures get +1/+1.
1665,"{o1oB}, {oT}: Return target Zombie card from your graveyard to your hand."
1686,"Whenever a creature enters, untap all creatures."
1691,Destroy target artifact or land.
