multiverse_id,mtgo_id,set,collector_number,lang,rarity,name,mana_cost,cmc,type_line,artist,usd_price,usd_foil_price,eur_price,tix_price,image_uri,scryfall_uri,scryfall_id
,142635,EOE,11,en,C,Dockworker Drone,{1}{W},2.0,Artifact Creature — Robot,Marco Gorlei,0.05,0.04,0.06,0.01,https://cards.scryfall.io/large/front/e/e/eeff069f-427b-42ad-afb1-36f0e547fb74.jpg?1752946598,https://scryfall.com/card/eoe/11/dockworker-drone,eeff069f-427b-42ad-afb1-36f0e547fb74
,142637,EOE,12,en,U,Dual-Sun Adepts,{2}{W},3.0,Creature — Human Soldier,Ioannis Fiore,0.06,0.1,0.07,0.01,https://cards.scryfall.io/large/front/c/7/c7e8c830-77ae-437f-8e28-ce61c5fde6b6.jpg?1752946599,https://scryfall.com/card/eoe/12/dual-sun-adepts,c7e8c830-77ae-437f-8e28-ce61c5fde6b6
,142639,EOE,13,en,U,Dual-Sun Technique,{1}{W},2.0,Instant,Ioannis Fiore,0.1,0.12,0.11,0.01,https://cards.scryfall.io/large/front/f/8/f8931132-391f-4f16-b480-0a245ab2ec21.jpg?1752946606,https://scryfall.com/card/eoe/13/dual-sun-technique,f8931132-391f-4f16-b480-0a245ab2ec21
,142641,EOE,14,en,U,Emergency Eject,{2}{W},3.0,Instant,Leon Tukker,0.13,0.2,0.19,0.01,https://cards.scryfall.io/large/front/f/c/fc98b2d4-86fc-4c47-b2a7-1f3c89463607.jpg?1752946606,https://scryfall.com/card/eoe/14/emergency-eject,fc98b2d4-86fc-4c47-b2a7-1f3c89463607
,142643,EOE,15,en,M,Exalted Sunborn,{3}{W}{W},5.0,Creature — Angel Wizard,Scott M. Fischer,18.49,21.07,14.32,0.3,https://cards.scryfall.io/large/front/7/e/7e1fe101-f634-41e5-9aa4-e8d7474535dc.jpg?1752946614,https://scryfall.com/card/eoe/15/exalted-sunborn,7e1fe101-f634-41e5-9aa4-e8d7474535dc
,142645,EOE,16,en,C,Exosuit Savior,{2}{W},3.0,Creature — Human Soldier,Benjamin Ee,0.1,0.08,0.05,0.01,https://cards.scryfall.io/large/front/8/2/826c0455-a6ce-43ad-bd5c-0a5df169da90.jpg?1752946614,https://scryfall.com/card/eoe/16/exosuit-savior,826c0455-a6ce-43ad-bd5c-0a5df169da90
,142647,EOE,17,en,C,Flight-Deck Coordinator,{2}{W},3.0,Creature — Human Soldier,Diego Gisbert,0.03,0.04,0.08,0.01,https://cards.scryfall.io/large/front/8/8/88cc6328-a035-4f74-b786-390e5c7c324c.jpg?1752946621,https://scryfall.com/card/eoe/17/flight-deck-coordinator,88cc6328-a035-4f74-b786-390e5c7c324c
,142649,EOE,18,en,C,Focus Fire,{W},1.0,Instant,Borja Pindado,0.09,0.05,0.06,0.01,https://cards.scryfall.io/large/front/a/9/a9ddfcbc-0f84-4315-aaa3-ca54ff64d7de.jpg?1752946622,https://scryfall.com/card/eoe/18/focus-fire,a9ddfcbc-0f84-4315-aaa3-ca54ff64d7de
,142651,EOE,19,en,R,"Haliya, Guided by Light",{2}{W},3.0,Legendary Creature — Human Soldier,Kieran Yanner,1.19,1.5,0.31,0.29,https://cards.scryfall.io/large/front/6/f/6f7c63ae-5df3-410f-8643-b8c69133ca9d.jpg?1752946628,https://scryfall.com/card/eoe/19/haliya-guided-by-light,6f7c63ae-5df3-410f-8643-b8c69133ca9d
,142653,EOE,20,en,R,Hardlight Containment,{W},1.0,Enchantment — Aura,Dominik Mayer,0.4,0.43,0.11,0.01,https://cards.scryfall.io/large/front/0/b/0b934241-4d6b-4b9c-99f1-c49cb387cf56.jpg?1752946630,https://scryfall.com/card/eoe/20/hardlight-containment,0b934241-4d6b-4b9c-99f1-c49cb387cf56
,142655,EOE,21,en,U,Honor,{W},1.0,Sorcery,Eli Minaya,0.18,0.2,0.13,0.01,https://cards.scryfall.io/large/front/d/0/d0b4e925-1d59-41a1-bc06-9982695d778f.jpg?1752946636,https://scryfall.com/card/eoe/21/honor,d0b4e925-1d59-41a1-bc06-9982695d778f
,142657,EOE,22,en,U,Honored Knight-Captain,{1}{W},2.0,Creature — Human Advisor Knight,Forrest Imel,0.06,0.09,0.13,0.01,https://cards.scryfall.io/large/front/0/5/05a6ab03-f0b9-4738-a5f9-5d95bb22de75.jpg?1752946639,https://scryfall.com/card/eoe/22/honored-knight-captain,05a6ab03-f0b9-4738-a5f9-5d95bb22de75
,142659,EOE,23,en,C,Knight Luminary,{3}{W},4.0,Creature — Human Knight,Aaron Miller,0.07,0.04,0.07,0.01,https://cards.scryfall.io/large/front/3/4/34334971-c1b7-4506-a6dd-77f66b3ae4e7.jpg?1752946643,https://scryfall.com/card/eoe/23/knight-luminary,34334971-c1b7-4506-a6dd-77f66b3ae4e7
,142661,EOE,24,en,R,Lightstall Inquisitor,{W},1.0,Creature — Angel Wizard,Arif Wijaya,0.89,1.33,1.25,0.3,https://cards.scryfall.io/large/front/6/3/635245e9-c27f-4a51-a6f1-bae62e696542.jpg?1752946647,https://scryfall.com/card/eoe/24/lightstall-inquisitor,635245e9-c27f-4a51-a6f1-bae62e696542
,142663,EOE,25,en,R,Lumen-Class Frigate,{1}{W},2.0,Artifact — Spacecraft,Zezhou Chen,0.29,0.37,0.12,0.01,https://cards.scryfall.io/large/front/0/c/0cc59b5a-65fa-47cc-8ac7-b7c3f533a782.jpg?1753296574,https://scryfall.com/card/eoe/25/lumen-class-frigate,0cc59b5a-65fa-47cc-8ac7-b7c3f533a782
,142665,EOE,26,en,C,Luxknight Breacher,{3}{W},4.0,Creature — Human Knight,Cristi Balanescu,0.07,0.07,0.12,0.01,https://cards.scryfall.io/large/front/c/1/c1236731-0d33-4705-8077-3cf58acf9a39.jpg?1752946655,https://scryfall.com/card/eoe/26/luxknight-breacher,c1236731-0d33-4705-8077-3cf58acf9a39
,142667,EOE,27,en,R,Pinnacle Starcage,{1}{W}{W},3.0,Artifact,Leon Tukker,1.38,1.38,0.37,0.31,https://cards.scryfall.io/large/front/b/1/b1f40c4c-a955-4d9c-8225-251fa4159124.jpg?1752946658,https://scryfall.com/card/eoe/27/pinnacle-starcage,b1f40c4c-a955-4d9c-8225-251fa4159124
,142669,EOE,28,en,U,Pulsar Squadron Ace,{1}{W},2.0,Creature — Human Pilot,Javier Charro,0.03,0.08,0.03,0.01,https://cards.scryfall.io/large/front/8/d/8d989cdc-cbd7-4b71-9589-59618597ac8a.jpg?1752946664,https://scryfall.com/card/eoe/28/pulsar-squadron-ace,8d989cdc-cbd7-4b71-9589-59618597ac8a
,142671,EOE,29,en,C,Radiant Strike,{3}{W},4.0,Instant,Aleksi Briclot,0.03,0.07,0.11,0.01,https://cards.scryfall.io/large/front/8/c/8c38e4cb-918b-4493-872b-66c90dcfd339.jpg?1752946665,https://scryfall.com/card/eoe/29/radiant-strike,8c38e4cb-918b-4493-872b-66c90dcfd339
,142673,EOE,30,en,U,Rayblade Trooper,{2}{W},3.0,Creature — Human Soldier,Cristi Balanescu,0.07,0.08,0.09,0.01,https://cards.scryfall.io/large/front/c/0/c08c7bf9-a2ed-45c6-8b48-15122d9d9e37.jpg?1752946672,https://scryfall.com/card/eoe/30/rayblade-trooper,c08c7bf9-a2ed-45c6-8b48-15122d9d9e37
,142675,EOE,31,en,U,Reroute Systems,{W},1.0,Instant,Sergey Glushakov,0.14,0.16,0.08,0.01,https://cards.scryfall.io/large/front/3/b/3bbdba38-2b99-4226-98e3-6d2580345d6d.jpg?1752946673,https://scryfall.com/card/eoe/31/reroute-systems,3bbdba38-2b99-4226-98e3-6d2580345d6d
,142677,EOE,32,en,U,Rescue Skiff,{5}{W},6.0,Artifact — Spacecraft,Viko Menezes,0.08,0.1,0.13,0.01,https://cards.scryfall.io/large/front/6/f/6fe86bfb-c67d-4df9-88c9-f083091f4cda.jpg?1753296586,https://scryfall.com/card/eoe/32/rescue-skiff,6fe86bfb-c67d-4df9-88c9-f083091f4cda
,142679,EOE,33,en,U,Scout for Survivors,{2}{W},3.0,Sorcery,Greg Staples,0.21,0.17,0.06,0.01,https://cards.scryfall.io/large/front/e/b/ebf3a6dd-a447-46f9-8b10-091ac8cbaa18.jpg?1752946680,https://scryfall.com/card/eoe/33/scout-for-survivors,ebf3a6dd-a447-46f9-8b10-091ac8cbaa18
,142681,EOE,34,en,U,Seam Rip,{W},1.0,Enchantment,Sam Guay,0.61,0.65,0.75,0.26,https://cards.scryfall.io/large/front/9/d/9d298847-2d02-4593-b4d3-c5b722edac1e.jpg?1752946687,https://scryfall.com/card/eoe/34/seam-rip,9d298847-2d02-4593-b4d3-c5b722edac1e
,142683,EOE,35,en,R,The Seriema,{1}{W}{W},3.0,Legendary Artifact — Spacecraft,Sergey Glushakov,0.72,2.5,0.02,0.01,https://cards.scryfall.io/large/front/d/e/dec91ec3-42d3-4922-96f0-dbb50a576084.jpg?1753296617,https://scryfall.com/card/eoe/35/the-seriema,dec91ec3-42d3-4922-96f0-dbb50a576084
,142685,EOE,36,en,C,Squire's Lightblade,{W},1.0,Artifact — Equipment,Edgar Sánchez Hidalgo,0.05,0.06,0.12,0.01,https://cards.scryfall.io/large/front/2/a/2a0accba-85d4-4aa4-a70c-80fcce48c261.jpg?1752946695,https://scryfall.com/card/eoe/36/squires-lightblade,2a0accba-85d4-4aa4-a70c-80fcce48c261
,142687,EOE,37,en,U,Starfield Shepherd,{3}{W}{W},5.0,Creature — Angel,Marta Nael,0.24,0.27,0.26,0.02,https://cards.scryfall.io/large/front/1/2/1226e575-aa78-4c68-be1d-6e5c2dc6315b.jpg?1752946696,https://scryfall.com/card/eoe/37/starfield-shepherd,1226e575-aa78-4c68-be1d-6e5c2dc6315b
,142689,EOE,38,en,C,Starfighter Pilot,{1}{W},2.0,Creature — Human Pilot,Nathaniel Himawan,0.06,0.06,0.07,0.01,https://cards.scryfall.io/large/front/1/e/1e571246-aadc-4d1f-a284-9a529e150fe0.jpg?1752946702,https://scryfall.com/card/eoe/38/starfighter-pilot,1e571246-aadc-4d1f-a284-9a529e150fe0
,142691,EOE,39,en,C,Starport Security,{W},1.0,Artifact Creature — Robot Soldier,Lie Setiawan,0.03,0.13,0.19,0.01,https://cards.scryfall.io/large/front/2/3/238cb1db-6c41-4fe1-bc34-340048dfde18.jpg?1752946704,https://scryfall.com/card/eoe/39/starport-security,238cb1db-6c41-4fe1-bc34-340048dfde18
,142693,EOE,40,en,R,Sunstar Chaplain,{1}{W},2.0,Creature — Human Cleric,Valera Lutfullina,0.13,0.27,0.15,0.01,https://cards.scryfall.io/large/front/8/3/83719626-3ff8-4566-9911-88212e753c69.jpg?1752946709,https://scryfall.com/card/eoe/40/sunstar-chaplain,83719626-3ff8-4566-9911-88212e753c69
,142695,EOE,41,en,U,Sunstar Expansionist,{1}{W},2.0,Creature — Human Knight,Mark Poole,0.04,0.15,0.07,0.02,https://cards.scryfall.io/large/front/9/3/93b0e6e5-9fb6-4342-9322-1a4cc09a7a76.jpg?1752946712,https://scryfall.com/card/eoe/41/sunstar-expansionist,93b0e6e5-9fb6-4342-9322-1a4cc09a7a76
,142697,EOE,42,en,U,Sunstar Lightsmith,{3}{W},4.0,Creature — Human Artificer,Jarel Threat,0.04,0.08,0.09,0.01,https://cards.scryfall.io/large/front/5/f/5f60b09d-9814-4a36-a57d-59b0e04c1c2f.jpg?1752946716,https://scryfall.com/card/eoe/42/sunstar-lightsmith,5f60b09d-9814-4a36-a57d-59b0e04c1c2f
,142699,EOE,43,en,U,Wedgelight Rammer,{3}{W},4.0,Artifact — Spacecraft,Nadia Hurianova,0.06,0.06,0.05,0.01,https://cards.scryfall.io/large/front/2/c/2cb0984f-dc8b-4bb3-a4fd-8d6d4ae20198.jpg?1753296645,https://scryfall.com/card/eoe/43/wedgelight-rammer,2cb0984f-dc8b-4bb3-a4fd-8d6d4ae20198
,142701,EOE,44,en,C,Weftblade Enhancer,{5}{W},6.0,Creature — Drix Artificer,Nathaniel Himawan,0.02,0.04,0.08,0.01,https://cards.scryfall.io/large/front/8/d/8d72b00c-5043-4630-949a-fc17eeb962bc.jpg?1752946724,https://scryfall.com/card/eoe/44/weftblade-enhancer,8d72b00c-5043-4630-949a-fc17eeb962bc
,142703,EOE,45,en,C,Zealous Display,{2}{W},3.0,Instant,Chris Rallis,0.02,0.07,0.04,0.01,https://cards.scryfall.io/large/front/f/5/f5973fd3-d6bc-48f1-8a44-57d2a6dda228.jpg?1752946729,https://scryfall.com/card/eoe/45/zealous-display,f5973fd3-d6bc-48f1-8a44-57d2a6dda228
,142705,EOE,46,en,U,Annul,{U},1.0,Instant,Carlos Palma Cruchaga,0.11,0.15,0.19,0.01,https://cards.scryfall.io/large/front/4/f/4feeebea-aa55-4599-ab5a-4e41a54d0dfd.jpg?1752946732,https://scryfall.com/card/eoe/46/annul,4feeebea-aa55-4599-ab5a-4e41a54d0dfd
,142707,EOE,47,en,U,Atomic Microsizer,{U},1.0,Artifact — Equipment,Gabor Szikszai,0.07,0.07,0.07,0.01,https://cards.scryfall.io/large/front/3/5/3554f0c7-ea73-43e9-a061-bbb8ef6abce1.jpg?1752946737,https://scryfall.com/card/eoe/47/atomic-microsizer,3554f0c7-ea73-43e9-a061-bbb8ef6abce1
,142709,EOE,48,en,U,Cerebral Download,{4}{U},5.0,Instant,Antonio José Manzanedo,0.07,0.1,0.09,0.01,https://cards.scryfall.io/large/front/4/d/4d3b5d73-694c-4f9a-8b4f-d8d8c58c8d65.jpg?1752946739,https://scryfall.com/card/eoe/48/cerebral-download,4d3b5d73-694c-4f9a-8b4f-d8d8c58c8d65
,142711,EOE,49,en,C,Cloudsculpt Technician,{2}{U},3.0,Creature — Jellyfish Artificer,Elizabeth Peiró,0.03,0.03,0.06,0.01,https://cards.scryfall.io/large/front/5/1/51077a54-15cf-4088-8e84-088d72e8e861.jpg?1752946745,https://scryfall.com/card/eoe/49/cloudsculpt-technician,51077a54-15cf-4088-8e84-088d72e8e861
,142713,EOE,50,en,U,Codecracker Hound,{2}{U},3.0,Creature — Dog,Julia Metzger,0.07,0.1,0.11,0.01,https://cards.scryfall.io/large/front/6/7/6723b891-6013-4ec6-b439-2233d270dc48.jpg?1752946747,https://scryfall.com/card/eoe/50/codecracker-hound,6723b891-6013-4ec6-b439-2233d270dc48
,142715,EOE,51,en,R,Consult the Star Charts,{1}{U},2.0,Instant,Antonio José Manzanedo,6.48,7.88,7.46,6.57,https://cards.scryfall.io/large/front/a/1/a16a6555-2e3a-4587-aacd-0307d696b26c.jpg?1752946753,https://scryfall.com/card/eoe/51/consult-the-star-charts,a16a6555-2e3a-4587-aacd-0307d696b26c
,142717,EOE,52,en,C,Cryogen Relic,{1}{U},2.0,Artifact,Eelis Kyttanen,0.2,0.35,0.49,0.02,https://cards.scryfall.io/large/front/7/b/7bfb33b6-e2bf-498f-8c58-ae21a840cf75.jpg?1752946757,https://scryfall.com/card/eoe/52/cryogen-relic,7bfb33b6-e2bf-498f-8c58-ae21a840cf75
,142719,EOE,53,en,C,Cryoshatter,{U},1.0,Enchantment — Aura,Jeremy Wilson,0.12,0.08,0.09,0.01,https://cards.scryfall.io/large/front/7/b/7b62b1e2-9e43-4a66-a647-7e5de2871f2a.jpg?1752946762,https://scryfall.com/card/eoe/53/cryoshatter,7b62b1e2-9e43-4a66-a647-7e5de2871f2a
,142721,EOE,54,en,U,Desculpting Blast,{1}{U},2.0,Instant,Jeremy Wilson,0.11,0.1,0.17,0.01,https://cards.scryfall.io/large/front/7/7/77fdbf32-b5f4-4346-846d-d8e0e53e6e53.jpg?1752946764,https://scryfall.com/card/eoe/54/desculpting-blast,77fdbf32-b5f4-4346-846d-d8e0e53e6e53
,142723,EOE,55,en,C,Divert Disaster,{1}{U},2.0,Instant,David Álvarez,0.06,0.08,0.1,0.01,https://cards.scryfall.io/large/front/c/5/c5f7d2fe-628b-4493-8281-0e5f91ce5d61.jpg?1752946770,https://scryfall.com/card/eoe/55/divert-disaster,c5f7d2fe-628b-4493-8281-0e5f91ce5d61
,142725,EOE,56,en,R,Emissary Escort,{1}{U},2.0,Artifact Creature — Robot Soldier,Igor Grechanyi,0.27,0.36,0.16,0.01,https://cards.scryfall.io/large/front/b/5/b52ba87f-3ac7-4f32-901c-d089df979f94.jpg?1752946771,https://scryfall.com/card/eoe/56/emissary-escort,b52ba87f-3ac7-4f32-901c-d089df979f94
,142727,EOE,57,en,U,Gigastorm Titan,{4}{U},5.0,Creature — Elemental,Bryan Sola,0.06,0.06,0.04,0.01,https://cards.scryfall.io/large/front/a/b/abc83e0a-0ae5-4087-a751-058a1ba6a920.jpg?1752946778,https://scryfall.com/card/eoe/57/gigastorm-titan,abc83e0a-0ae5-4087-a751-058a1ba6a920
,142729,EOE,58,en,C,Illvoi Galeblade,{U},1.0,Creature — Jellyfish Warrior,Nathaniel Himawan,0.08,0.13,0.12,0.01,https://cards.scryfall.io/large/front/7/6/769f7d13-a312-4d79-8639-6ae248452448.jpg?1752946779,https://scryfall.com/card/eoe/58/illvoi-galeblade,769f7d13-a312-4d79-8639-6ae248452448
,142731,EOE,59,en,U,Illvoi Infiltrator,{2}{U},3.0,Creature — Jellyfish Rogue,Paolo Parente,0.06,0.05,0.1,0.01,https://cards.scryfall.io/large/front/2/d/2db4ed41-0426-4d7f-bb43-e43392bed83b.jpg?1752946786,https://scryfall.com/card/eoe/59/illvoi-infiltrator,2db4ed41-0426-4d7f-bb43-e43392bed83b
,142733,EOE,60,en,C,Illvoi Light Jammer,{1}{U},2.0,Artifact — Equipment,David Álvarez,0.04,0.06,0.05,0.01,https://cards.scryfall.io/large/front/e/f/efb3d961-543c-4404-b4ed-1cb28ee411b3.jpg?1752946786,https://scryfall.com/card/eoe/60/illvoi-light-jammer,efb3d961-543c-4404-b4ed-1cb28ee411b3
,142735,EOE,61,en,C,Illvoi Operative,{1}{U},2.0,Creature — Jellyfish Rogue,Quintin Gleim,0.05,0.05,0.06,0.01,https://cards.scryfall.io/large/front/d/0/d0ae9fc7-1802-4806-9996-1f1f458ff6a7.jpg?1752946793,https://scryfall.com/card/eoe/61/illvoi-operative,d0ae9fc7-1802-4806-9996-1f1f458ff6a7
,142737,EOE,62,en,C,Lost in Space,{3}{U},4.0,Instant,Allen Panakal,0.02,0.05,0.02,0.01,https://cards.scryfall.io/large/front/6/d/6d9d7979-97af-4c85-86f5-1b3704f74e8b.jpg?1752946795,https://scryfall.com/card/eoe/62/lost-in-space,6d9d7979-97af-4c85-86f5-1b3704f74e8b
,142739,EOE,63,en,U,Mechan Assembler,{4}{U},5.0,Artifact Creature — Robot Artificer,Mirko Failoni,0.07,0.1,0.13,0.01,https://cards.scryfall.io/large/front/3/f/3fd46726-095e-4eb2-a804-eeeb988eee1d.jpg?1752946801,https://scryfall.com/card/eoe/63/mechan-assembler,3fd46726-095e-4eb2-a804-eeeb988eee1d
,142741,EOE,64,en,U,Mechan Navigator,{1}{U},2.0,Artifact Creature — Robot Pilot,Konstantin Porubov,0.06,0.13,0.14,0.01,https://cards.scryfall.io/large/front/a/1/a1fe1d39-42c8-41d0-8bf0-46973e4b07d4.jpg?1752946803,https://scryfall.com/card/eoe/64/mechan-navigator,a1fe1d39-42c8-41d0-8bf0-46973e4b07d4
,142743,EOE,65,en,C,Mechan Shieldmate,{1}{U},2.0,Artifact Creature — Robot Soldier,Daniel Ljunggren,0.03,0.04,0.07,0.01,https://cards.scryfall.io/large/front/7/4/745b2119-4d9f-431f-89b9-10ad48b6dc47.jpg?1752946812,https://scryfall.com/card/eoe/65/mechan-shieldmate,745b2119-4d9f-431f-89b9-10ad48b6dc47
,142745,EOE,66,en,C,Mechanozoa,{4}{U}{U},6.0,Artifact Creature — Robot Jellyfish,Daarken,0.04,0.04,0.12,0.01,https://cards.scryfall.io/large/front/0/c/0cb8d8ce-329a-4a97-b3d8-796703ebcb37.jpg?1752946818,https://scryfall.com/card/eoe/66/mechanozoa,0cb8d8ce-329a-4a97-b3d8-796703ebcb37
,142747,EOE,67,en,C,Mental Modulation,{1}{U},2.0,Instant,Andreia Ugrai,0.06,0.06,0.09,0.01,https://cards.scryfall.io/large/front/0/f/0f2d12fc-38a0-42e6-9caa-7c18bfcf0011.jpg?1752946821,https://scryfall.com/card/eoe/67/mental-modulation,0f2d12fc-38a0-42e6-9caa-7c18bfcf0011
,142749,EOE,68,en,R,"Mm'menon, the Right Hand",{3}{U}{U},5.0,Legendary Creature — Jellyfish Advisor,Joshua Raphael,0.27,0.44,0.02,0.01,https://cards.scryfall.io/large/front/8/2/82add0a0-e402-4b31-b101-81c0bf332015.jpg?1752946825,https://scryfall.com/card/eoe/68/mmmenon-the-right-hand,82add0a0-e402-4b31-b101-81c0bf332015
,142751,EOE,69,en,R,Moonlit Meditation,{2}{U},3.0,Enchantment — Aura,Liiga Smilshkalne,0.58,1.66,0.02,0.01,https://cards.scryfall.io/large/front/f/2/f2a56007-5bca-4edf-9cc4-5f77a273636c.jpg?1752946830,https://scryfall.com/card/eoe/69/moonlit-meditation,f2a56007-5bca-4edf-9cc4-5f77a273636c
,142753,EOE,70,en,U,Mouth of the Storm,{6}{U},7.0,Creature — Elemental,Domenico Cava,0.04,0.01,0.11,0.01,https://cards.scryfall.io/large/front/3/8/380f16d6-ad43-4e0d-9645-6abde6248182.jpg?1752946834,https://scryfall.com/card/eoe/70/mouth-of-the-storm,380f16d6-ad43-4e0d-9645-6abde6248182
,142755,EOE,71,en,C,Nanoform Sentinel,{2}{U},3.0,Artifact Creature — Robot,Tianxing Xu,0.05,0.03,0.08,0.01,https://cards.scryfall.io/large/front/3/e/3eeae8c3-7939-4c79-92f0-fbdb9c1b71d3.jpg?1752946838,https://scryfall.com/card/eoe/71/nanoform-sentinel,3eeae8c3-7939-4c79-92f0-fbdb9c1b71d3
,142757,EOE,72,en,M,Quantum Riddler,{3}{U}{U},5.0,Creature — Sphinx,Izzy,20.74,23.53,18.27,48.74,https://cards.scryfall.io/large/front/1/2/120be808-ff3b-4fca-96a1-4db6b9825856.jpg?1752946843,https://scryfall.com/card/eoe/72/quantum-riddler,120be808-ff3b-4fca-96a1-4db6b9825856
,142759,EOE,73,en,U,Scour for Scrap,{3}{U},4.0,Instant,Filip Burburan,0.23,0.3,0.24,0.01,https://cards.scryfall.io/large/front/5/1/517d1b00-7ec4-489a-ac52-657da24a6379.jpg?1752946845,https://scryfall.com/card/eoe/73/scour-for-scrap,517d1b00-7ec4-489a-ac52-657da24a6379
,142761,EOE,74,en,C,Selfcraft Mechan,{3}{U},4.0,Artifact Creature — Robot Artificer,Milivoj Ćeran,0.05,0.02,0.05,0.01,https://cards.scryfall.io/large/front/5/b/5b2de056-5c27-44d6-871d-909411bd52dd.jpg?1752946852,https://scryfall.com/card/eoe/74/selfcraft-mechan,5b2de056-5c27-44d6-871d-909411bd52dd
,142763,EOE,75,en,C,Sinister Cryologist,{2}{U},3.0,Creature — Jellyfish Wizard,Domenico Cava,0.04,0.04,0.11,0.01,https://cards.scryfall.io/large/front/e/8/e8fbe740-05ec-4ced-bb9d-3084c8c2b631.jpg?1752946852,https://scryfall.com/card/eoe/75/sinister-cryologist,e8fbe740-05ec-4ced-bb9d-3084c8c2b631
,142765,EOE,76,en,U,Specimen Freighter,{5}{U},6.0,Artifact — Spacecraft,Sergey Glushakov,0.05,0.08,0.06,0.01,https://cards.scryfall.io/large/front/b/8/b862a9f8-2361-4220-99bd-ae2530905195.jpg?1753296599,https://scryfall.com/card/eoe/76/specimen-freighter,b862a9f8-2361-4220-99bd-ae2530905195
,142767,EOE,77,en,C,Starbreach Whale,{4}{U},5.0,Creature — Whale,Sam Burley,0.02,0.06,0.1,0.01,https://cards.scryfall.io/large/front/8/a/8a1a0476-7145-4493-97e5-4fc05c85e476.jpg?1752946862,https://scryfall.com/card/eoe/77/starbreach-whale,8a1a0476-7145-4493-97e5-4fc05c85e476
