"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Hardlight Containment","W","R","21683","3.37","3759","4.27","12234","55.3%","52.0%","2076","48.9%","3080","55.3%","5156","52.7%","7018","51.3%","1.5pp"
"Honor","W","U","73989","4.40","12784","5.99","57763","74.9%","55.3%","9919","55.0%","14383","56.1%","24302","55.7%","33277","55.0%","0.7pp"
"Honored Knight-Captain","W","U","65604","3.92","13578","5.08","65996","80.7%","55.4%","11931","56.3%","15861","56.4%","27792","56.3%","38074","54.7%","1.6pp"
"Knight Luminary","W","C","191661","4.58","38132","6.07","192007","82.8%","56.2%","34499","57.5%","47359","57.6%","81858","57.6%","109557","55.1%","2.4pp"
"Lightstall Inquisitor","W","R","19395","2.92","5011","3.45","25103","82.9%","56.3%","4477","61.8%","5847","54.4%","10324","57.6%","13106","54.4%","3.2pp"
"Lumen-Class Frigate","W","R","9524","1.59","5948","1.56","32767","90.3%","56.5%","5854","62.0%","8104","58.7%","13958","60.1%","18226","53.4%","6.7pp"
"Luxknight Breacher","W","C","240052","6.43","23890","9.94","39922","28.1%","51.9%","6548","49.5%","9800","53.3%","16348","51.8%","23566","51.9%","-0.1pp"
"Pinnacle Starcage","W","R","25967","4.00","3245","5.94","4913","25.9%","48.9%","819","44.2%","1163","48.9%","1982","47.0%","2914","50.4%","-3.4pp"
"Pulsar Squadron Ace","W","U","66158","3.93","13445","5.14","64888","80.1%","55.3%","11894","56.3%","15615","55.5%","27509","55.9%","37232","54.8%","1.1pp"
"Radiant Strike","W","C","211081","5.14","29412","7.52","115227","65.6%","54.6%","19158","52.8%","29335","57.5%","48493","55.6%","66273","53.7%","1.9pp"
"Rayblade Trooper","W","U","47847","2.93","14405","3.47","78975","89.7%","56.5%","13934","58.4%","19515","58.5%","33449","58.4%","45317","55.1%","3.4pp"
"Reroute Systems","W","U","78878","4.80","10918","6.92","36730","57.0%","52.9%","6265","51.3%","9071","53.0%","15336","52.3%","21327","53.3%","-1.0pp"
"Rescue Skiff","W","U","69774","4.26","10605","5.96","37515","59.9%","52.8%","6082","49.2%","9512","55.4%","15594","53.0%","21318","52.5%","0.5pp"
"Scout for Survivors","W","U","83312","5.35","10214","7.89","22584","37.5%","52.0%","3641","47.3%","5673","54.3%","9314","51.6%","13249","52.3%","-0.7pp"
"Seam Rip","W","U","78791","4.81","10822","6.91","35335","55.0%","54.1%","6264","53.5%","8759","54.7%","15023","54.2%","20201","53.9%","0.3pp"
"The Seriema","W","R","16648","2.69","4964","2.86","18535","62.2%","56.7%","3181","61.0%","4498","59.6%","7679","60.2%","10547","53.9%","6.2pp"
"Squire's Lightblade","W","C","257033","7.40","27730","11.01","22115","13.4%","53.6%","3702","52.4%","5147","54.3%","8849","53.5%","13198","53.6%","-0.1pp"
"Starfield Shepherd","W","U","44141","2.75","15359","3.14","81983","87.5%","56.1%","14772","58.4%","20560","58.9%","35332","58.7%","46360","54.1%","4.6pp"
"Starfighter Pilot","W","C","227109","5.65","31201","8.16","119159","64.1%","54.2%","21639","55.3%","28113","53.1%","49752","54.1%","69237","54.3%","-0.2pp"
"Starport Security","W","C","243538","6.49","28827","9.63","67230","38.9%","54.2%","11786","53.9%","15126","53.4%","26912","53.6%","35608","53.5%","0.1pp"
"Sunstar Chaplain","W","R","11111","1.85","6041","1.83","33515","89.8%","57.1%","6268","60.7%","8336","60.2%","14604","60.4%","18873","54.6%","5.8pp"
"Sunstar Expansionist","W","U","51929","3.11","14378","3.78","77884","89.2%","55.9%","14144","58.8%","19021","56.4%","33165","57.4%","44549","54.7%","2.7pp"
"Sunstar Lightsmith","W","U","54709","3.39","14694","4.09","76034","85.9%","55.3%","12969","55.8%","19666","57.1%","32635","56.6%","43255","54.3%","2.3pp"
"Wedgelight Rammer","W","U","67302","4.05","10238","5.62","40767","67.4%","53.6%","6909","53.0%","10121","55.1%","17030","54.3%","23036","52.8%","1.4pp"
"Weftblade Enhancer","W","C","223814","5.57","27931","8.28","92704","56.0%","53.5%","15209","50.9%","22882","55.0%","38091","53.4%","54445","53.5%","-0.1pp"
"Zealous Display","W","C","260002","7.82","28186","11.46","17624","10.5%","52.8%","2892","48.3%","4118","54.5%","7010","51.9%","10588","53.4%","-1.5pp"
"Annul","U","U","93010","6.04","12076","8.81","21641","30.7%","50.6%","3751","48.3%","5916","52.6%","9667","51.0%","11843","50.1%","0.8pp"
"Atomic Microsizer","U","U","101935","7.03","12505","10.37","7814","10.5%","49.9%","1331","45.3%","2078","50.9%","3409","48.7%","4334","50.7%","-2.0pp"
"Cerebral Download","U","U","76732","4.68","16583","6.16","69212","70.3%","54.0%","11217","51.0%","19604","56.9%","30821","54.7%","37797","53.2%","1.5pp"
"Cloudsculpt Technician","U","C","249864","6.87","31171","10.17","48305","26.3%","50.9%","8354","49.7%","13672","52.7%","22026","51.6%","26004","50.3%","1.2pp"
"Codecracker Hound","U","U","46627","2.93","21400","3.24","119469","91.0%","56.8%","21426","58.4%","33806","60.7%","55232","59.8%","62903","54.0%","5.8pp"
"Consult the Star Charts","U","R","14375","2.31","6485","2.40","33341","87.2%","54.4%","5890","52.6%","9417","58.3%","15307","56.2%","17721","52.8%","3.4pp"
"Cryogen Relic","U","C","159504","3.86","48266","4.69","258117","88.0%","56.3%","46771","58.6%","72451","59.5%","119222","59.2%","135676","53.7%","5.5pp"
"Cryoshatter","U","C","198286","4.75","42434","6.44","210063","82.5%","54.9%","36194","53.3%","59287","57.6%","95481","56.0%","112091","53.9%","2.1pp"
"Desculpting Blast","U","U","66512","3.88","17988","4.88","91701","84.4%","55.6%","16000","53.6%","25907","59.4%","41907","57.2%","48767","54.0%","3.2pp"
"Divert Disaster","U","C","239811","6.37","38075","9.00","103105","45.2%","55.0%","18245","56.2%","28400","56.8%","46645","56.5%","55719","53.6%","2.9pp"
"Emissary Escort","U","R","16477","2.65","6047","2.92","30250","84.8%","53.6%","5429","56.0%","8392","56.8%","13821","56.5%","16121","51.1%","5.4pp"
"Gigastorm Titan","U","U","60298","3.68","18423","4.45","94007","85.0%","55.2%","15862","55.7%","27163","57.6%","43025","56.9%","50035","53.6%","3.3pp"
"Illvoi Galeblade","U","C","241498","6.30","37143","9.01","105764","47.9%","54.0%","19022","53.6%","27942","55.3%","46964","54.6%","55162","52.9%","1.8pp"
"Illvoi Infiltrator","U","U","63090","3.88","16049","4.84","76086","80.2%","53.8%","13394","54.8%","21432","54.4%","34826","54.5%","40677","53.0%","1.6pp"
"Illvoi Light Jammer","U","C","251401","7.02","34850","10.13","57367","27.6%","53.9%","9543","53.6%","15561","56.2%","25104","55.2%","31823","52.7%","2.5pp"
"Illvoi Operative","U","C","238031","6.33","35318","9.11","101625","48.4%","53.2%","17972","53.7%","27694","54.1%","45666","54.0%","55270","52.6%","1.4pp"
"Lost in Space","U","C","243411","6.35","44103","8.79","136596","51.6%","55.3%","22684","52.5%","38866","58.4%","61550","56.2%","73710","54.3%","1.9pp"
"Mechan Assembler","U","U","55453","3.41","14050","4.26","68844","83.6%","52.8%","11450","51.1%","19960","55.8%","31410","54.0%","36620","51.5%","2.5pp"
"Mechan Navigator","U","U","72802","4.31","16074","5.68","76504","80.2%","54.1%","13858","55.4%","20915","55.2%","34773","55.3%","41229","53.1%","2.2pp"
"Mechan Shieldmate","U","C","248546","6.76","33983","9.86","75554","37.6%","52.0%","13496","51.6%","20447","53.3%","33943","52.6%","41154","51.5%","1.1pp"
"Mechanozoa","U","C","217964","5.42","35198","7.83","136853","65.3%","53.8%","23115","50.9%","39076","57.3%","62191","55.0%","72585","52.5%","2.5pp"
"Mental Modulation","U","C","247461","6.72","34326","9.75","66210","32.6%","53.0%","11391","50.6%","18352","55.1%","29743","53.4%","35903","52.5%","0.8pp"
"Mm'menon, the Right Hand","U","R","15289","2.55","4756","2.72","20915","77.1%","50.4%","3500","45.1%","6108","52.9%","9608","50.0%","11060","50.3%","-0.3pp"
"Moonlit Meditation","U","R","33035","4.97","4173","7.63","3125","12.8%","44.5%","516","37.6%","788","40.5%","1304","39.3%","1792","48.0%","-8.7pp"
"Mouth of the Storm","U","U","67562","4.14","20967","4.84","103456","81.1%","56.2%","17119","53.8%","29820","60.7%","46939","58.2%","55545","54.4%","3.8pp"
"Nanoform Sentinel","U","C","247259","6.86","34874","9.88","75669","36.5%","52.9%","13306","52.2%","20990","55.2%","34296","54.0%","40925","51.8%","2.2pp"
"Quantum Riddler","U","M","4217","1.43","3371","1.40","19711","92.5%","58.5%","3635","64.2%","5590","67.1%","9225","66.0%","10278","51.7%","14.3pp"
"Scour for Scrap","U","U","95154","6.16","15095","8.70","31647","35.4%","52.6%","5245","49.3%","9270","56.8%","14515","54.1%","16867","51.1%","2.9pp"
"Selfcraft Mechan","U","C","213580","5.29","44208","7.09","192169","72.5%","55.0%","32591","54.4%","55826","57.7%","88417","56.5%","101560","53.5%","3.0pp"
"Sinister Cryologist","U","C","261808","7.95","31250","11.55","11028","5.9%","49.6%","1905","45.3%","2893","51.0%","4798","48.7%","6177","50.2%","-1.4pp"
"Specimen Freighter","U","U","60487","3.64","15733","4.60","76030","80.9%","54.5%","12511","52.3%","21507","58.0%","34018","55.9%","40688","52.9%","3.0pp"
"Starbreach Whale","U","C","229611","5.78","34233","8.45","102107","50.4%","52.7%","18108","49.7%","28902","55.5%","47010","53.2%","54237","52.1%","1.2pp"
"Starfield Vocalist","U","R","13768","2.28","6156","2.38","31277","86.8%","53.1%","5351","51.0%","8814","55.8%","14165","54.0%","16845","52.1%","1.9pp"
"Starwinder","U","R","12398","2.13","6196","2.14","31696","86.4%","54.0%","5082","53.5%","9103","57.9%","14185","56.3%","17177","51.8%","4.5pp"
"Steelswarm Operator","U","U","75590","4.57","12712","6.32","50889","68.3%","51.9%","9140","51.7%","14152","53.0%","23292","52.5%","27251","51.4%","1.1pp"
"Synthesizer Labship","U","R","13675","2.24","6605","2.30","34403","86.3%","55.8%","6071","62.1%","9817","57.6%","15888","59.3%","17889","52.7%","6.6pp"
"Tractor Beam","U","U","52824","3.25","19292","3.77","102993","88.1%","55.8%","17177","55.5%","29794","59.8%","46971","58.2%","54592","53.4%","4.9pp"
"Unravel","U","U","91257","5.72","15480","7.98","41155","44.5%","54.1%","7064","52.3%","11999","56.7%","19063","55.1%","21717","52.9%","2.2pp"
"Uthros Psionicist","U","U","63362","3.95","18111","4.71","89909","82.6%","55.3%","15954","57.2%","25111","57.5%","41065","57.3%","48110","53.5%","3.9pp"
"Uthros Scanship","U","U","69783","4.15","16266","5.38","74206","76.1%","54.9%","12550","54.7%","21007","57.7%","33557","56.6%","39779","53.3%","3.3pp"
"Weftwalking","U","M","8773","2.85","3877","2.94","18830","80.7%","55.4%","3024","53.3%","5556","61.4%","8580","58.5%","10010","52.6%","5.9pp"
"Alpharael, Stonechosen","B","M","8553","2.80","1649","3.37","5594","58.6%","51.1%","985","47.9%","1479","54.0%","2464","51.5%","3093","50.4%","1.2pp"
"Archenemy's Charm","B","R","18880","2.90","5118","3.41","24142","78.7%","54.7%","4240","53.4%","6517","59.8%","10757","57.3%","13259","52.6%","4.7pp"
"Beamsaw Prospector","B","C","205214","4.84","35051","6.85","172399","82.5%","54.2%","31329","55.3%","45523","54.9%","76852","55.0%","95125","53.5%","1.5pp"
"Blade of the Swarm","B","U","96035","6.18","10531","9.53","12456","19.9%","52.1%","2175","51.6%","3158","53.5%","5333","52.7%","7102","51.7%","1.1pp"
"Chorale of the Void","B","R","19777","3.16","4107","3.89","14957","63.7%","49.9%","2544","43.8%","4045","51.3%","6589","48.4%","8310","51.0%","-2.6pp"
"Comet Crawler","B","C","245884","6.64","29671","9.91","60673","34.5%","53.1%","10528","52.8%","16269","54.2%","26797","53.7%","33795","52.7%","0.9pp"
"Dark Endurance","B","C","259852","7.74","28047","11.50","10382","6.2%","51.3%","1722","47.0%","2537","55.5%","4259","52.1%","6114","50.7%","1.3pp"
"Decode Transmissions","B","C","242715","6.46","31199","9.52","73347","39.7%","52.5%","12620","48.9%","19363","55.0%","31983","52.6%","41110","52.5%","0.1pp"
"Depressurize","B","C","150144","3.61","38339","4.63","201820","87.7%","54.9%","35692","54.9%","54067","57.6%","89759","56.5%","110914","53.6%","3.0pp"
"Dubious Delicacy","B","U","40784","2.54","17928","2.82","99551","90.6%","56.7%","17580","58.6%","26866","61.9%","44446","60.6%","54291","53.5%","7.1pp"
"Elegy Acolyte","B","R","8748","1.51","6381","1.48","36656","91.9%","58.4%","6365","65.2%","10109","65.3%","16474","65.2%","20142","52.8%","12.4pp"
"Embrace Oblivion","B","C","209242","5.11","34537","7.21","147030","71.4%","54.2%","24737","52.0%","40222","57.4%","64959","55.3%","81420","53.3%","2.0pp"
"Entropic Battlecruiser","B","R","17320","2.75","3897","3.18","16154","71.8%","51.1%","2768","50.8%","4315","53.2%","7083","52.3%","8963","50.1%","2.2pp"
"Faller's Faithful","B","U","59035","3.53","16559","4.31","86483","86.5%","55.8%","14928","56.0%","23294","59.3%","38222","58.0%","47825","54.1%","3.8pp"
"Fell Gravship","B","U","58167","3.48","17657","4.17","91063","84.4%","56.7%","15494","57.9%","24766","61.2%","40260","59.9%","50029","54.1%","5.8pp"
"Gravblade Heavy","B","C","257346","7.42","28206","11.06","21910","13.1%","50.8%","3638","49.6%","6008","51.2%","9646","50.6%","12250","50.7%","-0.1pp"
"Gravkill","B","C","127865","3.14","36414","3.92","196672","90.5%","54.4%","33120","52.9%","53529","58.2%","86649","56.2%","108733","52.9%","3.3pp"
"Gravpack Monoist","B","C","205540","4.90","37556","6.76","184851","81.7%","55.2%","32489","56.2%","49696","57.2%","82185","56.8%","102059","53.8%","3.0pp"
"Hullcarver","B","C","220288","5.39","31777","7.88","133234","70.2%","54.5%","23679","56.0%","34951","55.4%","58630","55.7%","71586","53.4%","2.3pp"
"Hylderblade","B","U","82958","5.11","12925","7.20","42314","55.2%","53.4%","7337","53.7%","10914","54.5%","18251","54.2%","23876","52.8%","1.3pp"
"Hymn of the Faller","B","U","74947","4.43","13076","6.10","54541","71.2%","52.7%","9775","48.5%","14427","54.3%","24202","52.0%","30168","53.2%","-1.3pp"
"Insatiable Skittermaw","B","C","242714","6.54","26440","9.97","50086","32.0%","51.7%","8696","51.1%","12911","52.2%","21607","51.8%","28456","51.7%","0.1pp"
"Lightless Evangel","B","U","71596","4.25","12620","5.81","54712","73.1%","53.9%","9660","53.6%","14327","54.3%","23987","54.0%","30635","53.7%","0.3pp"
"Monoist Circuit-Feeder","B","U","49897","3.08","17505","3.52","92028","86.5%","56.1%","15190","54.8%","25810","61.3%","41000","58.9%","50307","53.6%","5.3pp"
"Monoist Sentry","B","U","89083","5.41","12317","7.92","33614","46.2%","52.3%","6180","52.1%","8870","53.7%","15050","53.1%","17984","51.4%","1.7pp"
"Perigee Beckoner","B","C","225817","5.74","36337","8.05","137902","63.3%","55.1%","22791","54.1%","37086","58.2%","59877","56.7%","77657","53.8%","2.9pp"
"Requiem Monolith","B","R","14913","2.44","6411","2.55","31617","84.0%","53.4%","5453","55.2%","8298","55.1%","13751","55.1%","17717","52.0%","3.1pp"
"Scrounge for Eternity","B","U","88137","5.55","11398","8.20","23244","34.8%","50.9%","3872","46.3%","6252","51.2%","10124","49.3%","13063","52.0%","-2.6pp"
"Sothera, the Supervoid","B","M","5774","1.91","2404","1.94","11695","84.0%","52.0%","2052","50.4%","3187","54.8%","5239","53.1%","6398","51.2%","1.9pp"
"Sunset Saboteur","B","R","16965","2.71","6996","2.83","36153","84.4%","57.0%","6510","63.9%","9581","59.4%","16091","61.2%","19921","53.5%","7.7pp"
"Susurian Dirgecraft","B","U","68956","4.02","11568","5.59","47775","69.8%","53.2%","7966","50.9%","13004","56.0%","20970","54.1%","26406","52.4%","1.7pp"
"Susurian Voidborn","B","U","61935","3.68","12509","4.84","61141","82.7%","53.8%","10582","53.2%","16105","57.0%","26687","55.5%","34293","52.4%","3.1pp"
"Swarm Culler","B","C","236555","6.08","31439","8.93","92299","49.7%","52.5%","15554","50.1%","24667","53.9%","40221","52.4%","51956","52.5%","-0.1pp"
"Temporal Intervention","B","C","261280","7.96","29682","11.62","10606","6.0%","49.9%","1816","49.1%","2806","51.4%","4622","50.5%","5949","49.3%","1.2pp"
"Timeline Culler","B","U","69837","4.17","12139","5.69","56164","77.4%","55.1%","10083","56.1%","14392","56.5%","24475","56.3%","31662","54.2%","2.1pp"
"Tragic Trajectory","B","U","45564","2.80","15299","3.32","83227","90.3%","55.1%","14421","54.6%","22550","59.0%","36971","57.3%","45732","53.3%","4.0pp"
"Umbral Collar Zealot","B","U","55141","3.31","15518","4.02","83998","90.0%","55.4%","15119","57.2%","21925","57.2%","37044","57.2%","46744","54.0%","3.2pp"
"Virus Beetle","B","C","180549","4.22","41354","5.56","218046","87.8%","55.2%","39375","56.9%","58487","57.1%","97862","57.1%","119168","53.6%","3.5pp"
"Voidforged Titan","B","U","61582","3.68","12828","4.83","62504","82.6%","53.1%","10497","51.1%","17210","54.5%","27707","53.2%","34644","52.8%","0.4pp"
"Vote Out","B","U","47525","2.91","14242","3.53","75512","88.8%","54.4%","12747","53.7%","20325","57.5%","33072","56.0%","42021","53.1%","2.9pp"
"Xu-Ifit, Osteoharmonist","B","R","13511","2.22","5037","2.37","25750","85.8%","54.0%","4490","53.2%","6883","56.2%","11373","55.0%","14234","53.1%","1.9pp"
"Zero Point Ballad","B","R","11379","1.91","6134","1.92","32497","88.6%","54.6%","5509","54.4%","8893","59.1%","14402","57.3%","17890","52.4%","4.8pp"
"Bombard","R","C","176207","4.23","31707","5.79","151772","80.7%","53.6%","26211","52.0%","37668","55.5%","63879","54.0%","87388","53.3%","0.7pp"
"Cut Propulsion","R","U","65001","3.87","14803","4.99","74661","84.0%","54.9%","12595","52.9%","18623","57.7%","31218","55.8%","43190","54.2%","1.5pp"
"Debris Field Crusher","R","U","75157","4.50","10605","6.42","37605","59.9%","52.5%","6150","49.5%","9464","54.1%","15614","52.3%","21774","52.6%","-0.3pp"
"Devastating Onslaught","R","M","7797","2.63","2412","2.79","11228","78.5%","54.0%","1865","52.4%","2839","58.8%","4704","56.3%","6468","52.2%","4.1pp"
"Drill Too Deep","R","C","257730","7.77","25868","11.68","9276","6.1%","48.8%","1617","47.1%","2194","49.8%","3811","48.6%","5463","48.9%","-0.2pp"
"Frontline War-Rager","R","C","250791","7.12","26009","10.79","29451","19.1%","51.0%","5121","49.7%","6936","50.2%","12057","50.0%","17400","51.7%","-1.7pp"
"Full Bore","R","U","97659","6.40","11064","9.69","13813","21.2%","51.4%","2347","50.1%","3205","51.8%","5552","51.1%","8255","51.6%","-0.5pp"
"Galvanizing Sawship","R","U","80393","4.93","11455","6.94","37711","56.2%","51.4%","6123","46.1%","9428","52.2%","15551","49.8%","22023","52.5%","-2.6pp"
"Invasive Maneuvers","R","U","54357","3.26","13566","4.10","71190","87.3%","54.8%","12469","54.8%","17443","56.3%","29912","55.7%","41021","54.2%","1.4pp"
"Kav Landseeker","R","C","216932","5.32","37116","7.40","165378","73.4%","55.4%","28092","54.7%","40698","56.9%","68790","56.0%","96390","54.9%","1.1pp"
"Kavaron Harrier","R","U","71178","4.22","12541","5.70","58045","77.5%","54.5%","10440","58.1%","13987","54.8%","24427","56.2%","32915","53.2%","3.0pp"
"Kavaron Skywarden","R","C","252400","7.12","27869","10.66","33613","20.3%","51.5%","5455","49.7%","8412","52.5%","13867","51.4%","19811","51.5%","-0.1pp"
"Kavaron Turbodrone","R","C","244645","6.62","29208","9.77","63915","37.1%","52.1%","11260","51.0%","15222","52.0%","26482","51.6%","37391","52.4%","-0.8pp"
"Lithobraking","R","U","92220","5.92","11049","8.85","18485","28.1%","51.9%","3348","49.6%","4441","53.4%","7789","51.8%","10667","52.0%","-0.2pp"
"Melded Moxite","R","C","234232","6.02","33940","8.60","114681","56.4%","54.6%","20749","55.4%","28315","56.0%","49064","55.8%","65342","53.8%","2.0pp"
"Memorial Team Leader","R","U","82598","5.03","11052","7.33","35892","54.6%","53.0%","6033","51.7%","8610","54.3%","14643","53.2%","21260","52.9%","0.3pp"
"Memorial Vault","R","R","35607","5.23","4829","7.75","5684","19.7%","50.7%","930","47.3%","1510","53.2%","2440","50.9%","3227","50.5%","0.5pp"
"Molecular Modifier","R","U","75539","4.54","12256","6.28","53352","72.3%","54.1%","9497","54.2%","12799","55.1%","22296","54.7%","31023","53.6%","1.1pp"
"Nebula Dragon","R","C","249121","6.78","37348","9.55","88577","39.4%","55.3%","14508","52.4%","22247","58.7%","36755","56.3%","51696","54.6%","1.6pp"
"Nova Hellkite","R","R","9496","1.62","6182","1.58","34010","89.7%","56.3%","5933","60.0%","8528","63.1%","14461","61.9%","19467","52.1%","9.8pp"
"Orbital Plunge","R","C","168942","4.07","41109","5.21","214960","86.1%","55.6%","36585","55.1%","54092","58.6%","90677","57.2%","123461","54.3%","2.9pp"
"Oreplate Pangolin","R","C","206590","5.08","31056","7.22","142664","77.5%","53.5%","25589","54.4%","35159","53.0%","60748","53.6%","81612","53.4%","0.2pp"
"Pain for All","R","R","15052","2.46","5035","2.64","25008","83.7%","53.3%","4035","52.2%","6264","56.4%","10299","54.7%","14637","52.3%","2.5pp"
"Plasma Bolt","R","C","180025","4.32","33331","5.88","159628","79.9%","54.5%","27766","53.6%","39483","56.4%","67249","55.2%","91941","53.9%","1.3pp"
"Possibility Technician","R","R","12095","2.03","6760","2.00","37111","88.5%","57.0%","6707","61.7%","9232","60.4%","15939","61.0%","21071","54.0%","6.9pp"
"Red Tiger Mechan","R","C","243231","6.79","24365","10.37","36603","25.5%","49.9%","6460","47.5%","8839","51.3%","15299","49.7%","21253","50.0%","-0.2pp"
"Remnant Elemental","R","U","95179","5.99","11949","8.87","25904","36.4%","53.3%","4760","54.4%","5955","51.4%","10715","52.7%","15194","53.7%","-1.0pp"
"Rig for War","R","C","262044","7.98","28071","11.68","12150","7.2%","52.0%","1999","48.8%","2819","52.0%","4818","50.7%","7334","52.8%","-2.2pp"
"Roving Actuator","R","U","92564","5.82","11781","8.54","21338","30.4%","52.6%","3639","50.1%","5367","54.3%","9006","52.6%","12284","52.6%","-0.1pp"
"Ruinous Rampage","R","U","104192","7.28","10632","11.15","1398","2.2%","44.8%","233","","332","","565","43.0%","835","46.1%","-3.1pp"
"Rust Harvester","R","R","13890","2.34","5679","2.40","28438","83.6%","54.9%","5017","57.7%","7326","58.2%","12343","58.0%","15651","52.2%","5.9pp"
"Slagdrill Scrapper","R","C","246329","6.69","31456","9.76","76897","41.0%","53.4%","13579","53.1%","19126","54.1%","32705","53.7%","43447","53.0%","0.7pp"
"Systems Override","R","U","92338","5.92","12607","8.51","26076","34.6%","54.1%","4332","52.2%","6747","58.1%","11079","55.8%","14976","52.9%","2.9pp"
"Tannuk, Steadfast Second","R","M","5785","1.97","2207","2.03","10625","81.5%","53.5%","1828","51.4%","2598","55.6%","4426","53.9%","6171","53.1%","0.8pp"
"Terminal Velocity","R","R","34532","5.26","4451","7.92","3603","13.7%","48.5%","567","47.1%","954","45.7%","1521","46.2%","2077","50.0%","-3.8pp"
"Terrapact Intimidator","R","U","44052","2.73","16760","3.07","91787","89.0%","56.6%","16956","62.2%","22457","57.4%","39413","59.5%","52224","54.4%","5.1pp"
"Territorial Bruntar","R","U","68061","4.13","14161","5.38","64081","75.6%","54.6%","10420","52.9%","16279","57.8%","26699","55.9%","37506","53.7%","2.2pp"
"Vaultguard Trooper","R","U","86689","5.24","12568","7.53","43154","57.7%","53.7%","7023","51.6%","10631","55.1%","17654","53.7%","25566","53.7%","-0.0pp"
"Warmaker Gunship","R","R","11873","2.03","6303","1.99","33957","88.0%","56.7%","5675","60.8%","8776","61.5%","14451","61.2%","19224","53.3%","7.9pp"
"Weapons Manufacturing","R","R","25170","4.04","3923","5.41","8813","38.8%","48.6%","1567","47.9%","2322","47.8%","3889","47.9%","4902","49.2%","-1.3pp"
"Weftstalker Ardent","R","U","72418","4.39","10539","6.19","43337","69.6%","53.0%","7450","52.2%","10596","54.4%","18046","53.5%","25237","52.6%","0.9pp"
"Zookeeper Mechan","R","C","182541","4.39","37466","5.80","193817","85.7%","55.0%","35218","57.5%","46915","54.7%","82133","55.9%","111308","54.3%","1.6pp"
"Atmospheric Greenhouse","G","U","61307","3.78","10775","4.90","45132","71.4%","51.8%","7383","47.8%","10821","52.6%","18204","50.6%","26599","52.6%","-1.9pp"
